Year ,Season,Coral Reef change(Km2),Fisheries change(MT)
1981,3,20394.11,10197.05
1981,4,20392.71,10196.35
1981,5,20343.19,10171.59
1981,6,20319.54,10159.77
1981,7,20309.09,10154.54
1981,8,20304.11,10152.05
1981,9,20298.75,10149.37
1981,10,20272.23,10136.11
1981,11,20241.19,10120.59
1982,0,20209.11,10104.55
1982,1,19989.94,9994.97
1982,2,19981.78,9990.89
1982,3,19934.32,9967.16
1982,4,19878.98,9939.49
1982,5,19839.09,9919.54
1982,6,19789.03,9894.51
1982,7,19772.23,9886.11
1982,8,19749.11,9874.55
1982,9,19723.31,9861.65
1982,10,19718.11,9859.05
1982,11,19672.29,9836.14
1983,0,19234.34,9617.17
1983,1,19245.21,9622.6
1983,2,19237.71,9618.85
1983,3,19238.11,9619.05
1983,4,19245.31,9622.65
1983,5,19221.1,9610.55
1983,6,19220,9610
1983,7,19207.34,9603.67
1983,8,19203.3,9601.65
1983,9,19189.34,9594.67
1983,10,19183.47,9591.73
1983,11,19180.01,9590
1984,0,19693.34,9846.67
1984,1,19623.45,9811.72
1984,2,19618.87,9809.43
1984,3,19605.89,9802.94
1984,4,19593.57,9796.78
1984,5,19581.56,9790.78
1984,6,19542.24,9771.12
1984,7,19523.21,9761.6
1984,8,19518.81,9759.4
1984,9,19520.43,9760.21
1984,10,19512.21,9756.1
1984,11,19509.3,9754.6
1985,0,18679.49,9339.74
1985,1,18673.44,9336.72
1985,2,18674,9337
1985,3,18672.09,9336.04
1985,4,18669.21,9334.6
1985,5,18673.32,9336.66
1985,6,18665.32,9332.66
1985,7,18657.32,9328.66
1985,8,18652.34,9326.17
1985,9,18651.93,9325.96
1985,10,18653.32,9326.66
1985,11,18653,9326.5
1986,0,18743.54,9371.77
1986,1,18752.23,9376.11
1986,2,18752.49,9376.24
1986,3,18768.78,9384.39
1986,4,18762.21,9381.1
1986,5,18759.47,9379.73
1986,6,18751.11,9375.55
1986,7,18748.23,9374.11
1986,8,18743.31,9371.65
1986,9,18742.29,9371.14
1986,10,18726.34,9363.17
1986,11,18719.91,9359.95
1987,0,19287.78,9643.89
1987,1,19285.43,9642.71
1987,2,19284.56,9642.28
1987,3,19267.89,9633.94
1987,4,19232.21,9616.1
1987,5,19227.65,9613.82
1987,6,19224.39,9612.19
1987,7,19213.98,9606.99
1987,8,19214.11,9607.05
1987,9,19209.21,9604.6
1987,10,19204.35,9602.17
1987,11,19202,9601
1988,0,18975.49,9487.74
1988,1,18973.21,9486.6
1988,2,18903.99,9451.99
1988,3,18989.23,9494.61
1988,4,18934.45,9467.22
1988,5,18937.23,9468.61
1988,6,18941.21,9470.6
1988,7,18944.27,9472.13
1988,8,18921.01,9460.5
1988,9,18919,9459.5
1988,10,18909.32,9454.66
1988,11,18902.21,9451.1
1989,0,18824.45,9412.22
1989,1,18824.59,9412.29
1989,2,18822.13,9411.06
1989,3,18812.34,9406.17
1989,4,18805,9402.5
1989,5,18792.77,9396.38
1989,6,18792.3,9396.15
1989,7,18784.75,9392.37
1989,8,18787.89,9393.94
1989,9,18781.23,9390.61
1989,10,18777.93,9388.96
1989,11,18775.37,9387.68
1990,0,21134.45,10567.22
1990,1,21187.36,10593.68
1990,2,21193.43,10596.71
1990,3,21188.2,10594.1
1990,4,21137.33,10568.66
1990,5,21129.31,10564.65
1990,6,21097.97,10548.98
1990,7,21052.23,10526.11
1990,8,21012.34,10506.17
1990,9,21013.45,10506.72
1990,10,20098.93,10049.46
1990,11,20099.11,10049.55
1991,0,22213.34,11106.67
1991,1,20225.97,10112.98
1991,2,20296.33,10148.16
1991,3,20288.81,10144.4
1991,4,20281.01,10140.5
1991,5,20273.21,10136.6
1991,6,20271.11,10135.55
1991,7,20245.78,10122.89
1991,8,20243.29,10121.64
1991,9,20240.2,10120.1
1991,10,20235.55,10117.77
1991,11,20232.19,10116.09
1992,0,20395.34,10197.67
1992,1,20391.11,10195.55
1992,2,20387.49,10193.74
1992,3,20385.11,10192.55
1992,4,20381.12,10190.56
1992,5,20380.01,10190
1992,6,20382.13,10191.06
1992,7,20379.37,10189.68
1992,8,20353.09,10176.54
1992,9,20323.23,10161.61
1992,10,20312.47,10156.23
1992,11,20310.11,10155.05
1993,0,25674.23,12837.11
1993,1,25602.32,12801.16
1993,2,25587.34,12793.67
1993,3,25534.45,12767.22
1993,4,25512.12,12756.06
1993,5,25504.2,12752.1
1993,6,25510.49,12755.24
1993,7,25501.11,12750.55
1993,8,25495.39,12747.69
1993,9,25489.39,12744.69
1993,10,25481.01,12740.5
1993,11,25452.12,12726.06
1994,0,25413.71,12706.85
1994,1,25429.49,12714.74
1994,2,25420.21,12710.1
1994,3,25415.11,12707.55
1994,4,25401.3,12700.65
1994,5,25391,12695.5
1994,6,25383.74,12691.87
1994,7,25348.88,12674.44
1994,8,25318.09,12659.04
1994,9,25307.11,12653.55
1994,10,25311.97,12655.98
1994,11,25302.02,12651.01
1995,0,24789.34,12394.67
1995,1,24731.11,12365.55
1995,2,24712.12,12356.06
1995,3,24709.01,12354.5
1995,4,24683.1,12341.5
1995,5,24671.01,12335.5
1995,6,24629.11,12314.55
1995,7,24618.01,12309
1995,8,24601.11,12300.55
1995,9,24613.09,12306.54
1995,10,24609.31,12304.65
1995,11,24581.79,12290.89
1996,0,24279.11,12139.55
1996,1,24222.8,12111.4
1996,2,24219.73,12109.86
1996,3,24208.09,12104.04
1996,4,24201.11,12100.55
1996,5,24189.93,12094.96
1996,6,24173.39,12086.69
1996,7,24128.29,12064.14
1996,8,24119.11,12059.55
1996,9,24105.51,12052.75
1996,10,24094.06,12047.03
1996,11,24031.11,12015.55
1997,0,22943.23,11471.61
1997,1,22912.05,11456.02
1997,2,22875.51,11437.75
1997,3,22818.81,11409.4
1997,4,22794.34,11397.17
1997,5,22759.9,11379.95
1997,6,22719.15,11359.57
1997,7,22705.05,11352.52
1997,8,22684.41,11342.2
1997,9,22689.31,11344.65
1997,10,22673.3,11336.65
1997,11,22651.11,11325.55
1998,0,22434.44,11217.22
1998,1,22449.35,11224.67
1998,2,22489.14,11244.57
1998,3,22481.12,11240.56
1998,4,22467.07,11233.53
1998,5,22451.11,11225.55
1998,6,22449.77,11224.88
1998,7,22441.12,11220.56
1998,8,22424.36,11212.18
1998,9,22419.01,11209.5
1998,10,22403.21,11201.6
1998,11,22403.78,11201.89
1999,0,22321.23,11160.61
1999,1,22347.45,11173.72
1999,2,22354.21,11177.1
1999,3,22379.23,11189.61
1999,4,22381.11,11190.55
1999,5,22379.43,11189.71
1999,6,22377,11188.5
1999,7,22325.21,11162.6
1999,8,22312.1,11156.05
1999,9,22315.34,11157.67
1999,10,22309.08,11154.54
1999,11,22301.12,11150.56
2000,0,15834.23,7917.11
2000,1,15844.43,7922.21
2000,2,15873.23,7936.61
2000,3,15864.31,7932.15
2000,4,15833.39,7916.69
2000,5,15812.12,7906.06
2000,6,15805.05,7902.52
2000,7,15823.32,7911.66
2000,8,15839.23,7919.61
2000,9,15830.2,7915.1
2000,10,15821.07,7910.53
2000,11,15809.23,7904.61
2001,0,15689.75,7844.87
2001,1,15674.48,7837.2
2001,2,15674.91,7837.45
2001,3,15668.73,7834.36
2001,4,15649.1,7824.55
2001,5,15643.37,7821.68
2001,6,15638.81,7819.4
2001,7,15635.57,7817.78
2001,8,15632.9,7816.45
2001,9,15618.32,7809.16
2001,10,15614.73,7807.36
2001,11,15603.33,7801.66
2002,0,16349.43,8174.71
2002,1,16354.89,8177.44
2002,2,16387.11,8193.55
2002,3,16409.12,8204.56
2002,4,16419.11,8209.55
2002,5,16423.39,8211.69
2002,6,16448.74,8224.37
2002,7,16467.18,8233.59
2002,8,16492.21,8246.1
2002,9,16420,8210
2002,10,16734.32,8367.16
2002,11,16721.29,8360.64
2003,0,16758.67,8379.33
2003,1,16768.81,8384.4
2003,2,16785.54,8392.77
2003,3,16789.43,8394.71
2003,4,16801.11,8400.55
2003,5,16829.43,8414.71
2003,6,16834.45,8417.22
2003,7,16837.23,8418.61
2003,8,16844.43,8422.21
2003,9,16857.1,8428.55
2003,10,16873.24,8436.62
2003,11,16884.14,8442.07
2004,0,16924.32,8462.16
2004,1,16937.45,8468.72
2004,2,16944.15,8472.07
2004,3,16957.46,8478.73
2004,4,16987.17,8493.58
2004,5,16981.11,8490.55
2004,6,16978.18,8489.09
2004,7,16974.43,8487.21
2004,8,16971.03,8485.51
2004,9,16964.49,8482.24
2004,10,16914.45,8457.22
2004,11,16904.37,8452.18
2005,0,17123.43,8561.71
2005,1,17176.43,8588.21
2005,2,17183.34,8591.67
2005,3,17207.77,8603.88
2005,4,17249.91,8624.95
2005,5,17287.17,8643.58
2005,6,17293.03,8646.51
2005,7,17288.34,8644.17
2005,8,17281.09,8640.54
2005,9,17293.33,8646.66
2005,10,17295.57,8647.78
2005,11,17295,8647.5
2006,0,17431.11,8715.55
2006,1,17447.84,8723.92
2006,2,17478.92,8739.46
2006,3,17489.93,8744.96
2006,4,17468.11,8734.05
2006,5,17471.21,8735.6
2006,6,17479.1,8739.55
2006,7,17492.23,8746.11
2006,8,17501.34,8750.6
2006,9,17553.31,8776.65
2006,10,17548.55,8774.27
2006,11,17563.21,8781.6
2007,0,17723.43,8861.71
2007,1,17742.22,8871.11
2007,2,17748.91,8874.45
2007,3,17756.91,8878.45
2007,4,17778.39,8889.19
2007,5,17784.56,8892.28
2007,6,17795.45,8897.72
2007,7,17634.43,8817.21
2007,8,17641.12,8820.56
2007,9,17648.91,8824.45
2007,10,17651.77,8825.88
2007,11,17684.39,8842.19
2008,0,17594.36,8797.18
2008,1,17591.11,8795.55
2008,2,17583.38,8791.69
2008,3,17575.15,8787.57
2008,4,17570.1,8785.05
2008,5,17563.33,8781.66
2008,6,17568.39,8784.19
2008,7,17544.67,8772.33
2008,8,17542.08,8771.04
2008,9,17531.12,8765.56
2008,10,17512,8756
2008,11,17509.28,8754.64
2009,0,17489.03,8744.51
2009,1,17475.15,8737.57
2009,2,17471.18,8735.59
2009,3,17469.99,8734.99
2009,4,17444.43,8722.21
2009,5,17438.83,8719.41
2009,6,17429.45,8714.72
2009,7,17411.94,8705.97
2009,8,17404.4,8702.2
2009,9,17389.1,8694.55
2009,10,17373.32,8686.66
2009,11,17371.11,8685.55
2010,0,15889.09,7944.54
2010,1,15880.23,7940.11
2010,2,15864.49,7932.24
2010,3,15861.01,7930.5
2010,4,15853.29,7926.64
2010,5,15848.88,7924.44
2010,6,15841.39,7920.69
2010,7,15837.17,7918.58
2010,8,15832.28,7916.14
2010,9,15830,7915
2010,10,15823.47,7911.73
2010,11,15818.43,7909.21
2011,0,15674.35,7837.17
2011,1,15678.11,7839.05
2011,2,15679.45,7839.72
2011,3,15688.39,7844.19
2011,4,15671.61,7835.8
2011,5,15670.02,7835.01
2011,6,15653.39,7826.69
2011,7,15622.27,7811.13
2011,8,15618.92,7809.46
2011,9,15609.43,7804.71
2011,10,15604.21,7802.1
2011,11,15619.34,7809.67
2012,0,15595.51,7797.75
2012,1,15591.11,7795.55
2012,2,15583.04,7791.52
2012,3,15581.11,7790.55
2012,4,15578.34,7789.17
2012,5,15572,7786
2012,6,15569.89,7784.94
2012,7,15561.23,7780.61
2012,8,15559.97,7779.98
2012,9,15555.45,7777.72
2012,10,15539.04,7769.52
2012,11,15521.11,7760.55
2013,0,15495.55,7747.77
2013,1,15491.03,7745.51
2013,2,15487.17,7743.58
2013,3,15468.99,7734.49
2013,4,15449.31,7724.65
2013,5,15437.31,7718.65
2013,6,15418.29,7709.14
2013,7,15406.08,7703.04
2013,8,15421.11,7710.55
2013,9,15427.37,7713.68
2013,10,15429.44,7714.72
2013,11,15415.88,7707.94
2014,0,14845.34,7422.67
2014,1,14884.37,7442.18
2014,2,14823.33,7411.66
2014,3,14779.34,7389.67
2014,4,14759.56,7379.78
2014,5,14763.31,7381.65
2014,6,14761.11,7380.55
2014,7,14744.04,7372.02
2014,8,14731.11,7365.55
2014,9,14729.09,7364.54
2014,10,14718.37,7359.18
2014,11,14710.44,7355.22
2015,0,14521.23,7260.61
2015,1,14522.09,7261.04
2015,2,14518.76,7259.38
2015,3,14547.79,7273.89
2015,4,14568.94,7284.47
2015,5,14565.55,7282.77
2015,6,14583.34,7291.67
2015,7,14597.17,7298.58
2015,8,14603.45,7301.72
2015,9,14609.12,7304.56
2015,10,14629.9,7314.95
2015,11,14612.34,7306.17
2016,0,18679.46,9339.73
2016,1,18663.11,9331.55
2016,2,18641.34,9320.67
2016,3,18631,9315.5
2016,4,18612.11,9306.05
2016,5,18604.44,9302.22
2016,6,18549.91,9274.95
2016,7,18527.77,9263.88
2016,8,18501.11,9250.55
2016,9,18492.45,9246.22
2016,10,18488.1,9244.05
2016,11,18430.98,9215.49
2017,0,12959.54,6479.77
2017,1,12944.11,6472.05
2017,2,12927.17,6463.58
2017,3,12848.67,6424.33
2017,4,12813.26,6406.63
2017,5,12808.8,6404.4
2017,6,12775.54,6387.77
2017,7,12779.08,6389.54
2017,8,12757.32,6378.66
2017,9,12752.12,6376.06
2017,10,12734.11,6367.05
2017,11,12714.89,6357.44
2018,0,12589.9,6294.95
2018,1,12574.43,6287.21
2018,2,12558.88,6279.44
2018,3,12539.11,6269.55
2018,4,12514.14,6257.07
2018,5,12505,6252.5
2018,6,12434.45,6217.22
2018,7,12465.11,6232.55
2018,8,12478.98,6239.49
2018,9,12485.55,6242.77
2018,10,12493.34,6246.67
2018,11,12499.08,6249.54
2019,0,10578.34,5289.17
2019,1,10567.11,5283.55
2019,2,10553.13,5276.56
2019,3,10542.12,5271.06
2019,4,10521.54,5260.77
2019,5,10533.93,5266.96
2019,6,10488.97,5244.48
2019,7,10447.81,5223.9
2019,8,10438.97,5219.48
2019,9,10421.47,5210.73
2019,10,10445.74,5222.87
2019,11,10454.66,5227.33
2020,0,10463,5231.5
2020,1,10237.45,5118.72
2020,2,10225.12,5112.56
2020,3,10157.85,5078.92
2020,4,10141,5070.5
2020,5,10096.66,5048.33
2020,6,10045.53,5022.76
2020,7,9975.78,4987.89
2020,8,9956.78,4978.39
2020,9,9944.98,4972.49
2020,10,9834.11,4917.05
2020,11,9853.18,4926.59

